chapter	sentence	token id 	token	gold	prediction
wisteria01	0	0	1	O	O
wisteria01	0	1	The	O	O
wisteria01	0	2	Singular	O	O
wisteria01	0	3	Experience	O	O
wisteria01	0	4	of	O	O
wisteria01	0	5	Mr.	O	O
wisteria01	0	6	John	O	O
wisteria01	0	7	Scott	O	O
wisteria01	0	8	Eccles	O	O
wisteria01	1	0	I	O	O
wisteria01	1	1	find	O	O
wisteria01	1	2	it	O	O
wisteria01	1	3	recorded	O	O
wisteria01	1	4	in	O	O
wisteria01	1	5	my	O	O
wisteria01	1	6	notebook	O	O
wisteria01	1	7	that	O	O
wisteria01	1	8	it	O	O
wisteria01	1	9	was	O	O
wisteria01	1	10	a	O	O
wisteria01	1	11	bleak	O	O
wisteria01	1	12	and	O	O
wisteria01	1	13	windy	O	O
wisteria01	1	14	day	O	O
wisteria01	1	15	towards	O	O
wisteria01	1	16	the	O	O
wisteria01	1	17	end	O	O
wisteria01	1	18	of	O	O
wisteria01	1	19	March	O	O
wisteria01	1	20	in	O	O
wisteria01	1	21	the	O	O
wisteria01	1	22	year	O	O
wisteria01	1	23	1892	O	O
wisteria01	1	24	.	O	O
wisteria01	2	0	Holmes	O	O
wisteria01	2	1	had	O	O
wisteria01	2	2	received	O	O
wisteria01	2	3	a	O	O
wisteria01	2	4	telegram	O	O
wisteria01	2	5	while	O	O
wisteria01	2	6	we	O	O
wisteria01	2	7	sat	O	O
wisteria01	2	8	at	O	O
wisteria01	2	9	our	O	O
wisteria01	2	10	lunch	O	O
wisteria01	2	11	","	O	O
wisteria01	2	12	and	O	O
wisteria01	2	13	he	O	O
wisteria01	2	14	had	O	O
wisteria01	2	15	scribbled	O	O
wisteria01	2	16	a	O	O
wisteria01	2	17	reply	O	O
wisteria01	2	18	.	O	O
wisteria01	3	0	He	O	O
wisteria01	3	1	made	O	O
wisteria01	3	2	no	B-NEG	B-NEG
wisteria01	3	3	remark	O	O
wisteria01	3	4	","	O	O
wisteria01	3	5	but	O	O
wisteria01	3	6	the	O	O
wisteria01	3	7	matter	O	O
wisteria01	3	8	remained	O	O
wisteria01	3	9	in	O	O
wisteria01	3	10	his	O	O
wisteria01	3	11	thoughts	O	O
wisteria01	3	12	","	O	O
wisteria01	3	13	for	O	O
wisteria01	3	14	he	O	O
wisteria01	3	15	stood	O	O
wisteria01	3	16	in	O	O
wisteria01	3	17	front	O	O
wisteria01	3	18	of	O	O
wisteria01	3	19	the	O	O
wisteria01	3	20	fire	O	O
wisteria01	3	21	afterwards	O	O
wisteria01	3	22	with	O	O
wisteria01	3	23	a	O	O
wisteria01	3	24	thoughtful	O	O
wisteria01	3	25	face	O	O
wisteria01	3	26	","	O	O
wisteria01	3	27	smoking	O	O
wisteria01	3	28	his	O	O
wisteria01	3	29	pipe	O	O
wisteria01	3	30	","	O	O
wisteria01	3	31	and	O	O
wisteria01	3	32	casting	O	O
wisteria01	3	33	an	O	O
wisteria01	3	34	occasional	O	O
wisteria01	3	35	glance	O	O
wisteria01	3	36	at	O	O
wisteria01	3	37	the	O	O
wisteria01	3	38	message	O	O
wisteria01	3	39	.	O	O
wisteria01	4	0	Suddenly	O	O
wisteria01	4	1	he	O	O
wisteria01	4	2	turned	O	O
wisteria01	4	3	upon	O	O
wisteria01	4	4	me	O	O
wisteria01	4	5	with	O	O
wisteria01	4	6	a	O	O
wisteria01	4	7	mischievous	O	O
wisteria01	4	8	twinkle	O	O
wisteria01	4	9	in	O	O
wisteria01	4	10	his	O	O
wisteria01	4	11	eyes	O	O
wisteria01	4	12	.	O	O
wisteria01	5	0	``	O	O
wisteria01	5	1	I	O	O
wisteria01	5	2	suppose	O	O
wisteria01	5	3	","	O	O
wisteria01	5	4	Watson	O	O
wisteria01	5	5	","	O	O
wisteria01	5	6	we	O	O
wisteria01	5	7	must	O	O
wisteria01	5	8	look	O	O
wisteria01	5	9	upon	O	O
wisteria01	5	10	you	O	O
wisteria01	5	11	as	O	O
wisteria01	5	12	a	O	O
wisteria01	5	13	man	O	O
wisteria01	5	14	of	O	O
wisteria01	5	15	letters	O	O
wisteria01	5	16	","	O	O
wisteria01	5	17	''	O	O
wisteria01	5	18	said	O	O
wisteria01	5	19	he	O	O
wisteria01	5	20	.	O	O
wisteria01	6	0	``	O	O
wisteria01	6	1	How	O	O
wisteria01	6	2	do	O	O
wisteria01	6	3	you	O	O
wisteria01	6	4	define	O	O
wisteria01	6	5	the	O	O
wisteria01	6	6	word	O	O
wisteria01	6	7	`	O	O
wisteria01	6	8	grotesque	O	O
wisteria01	6	9	'	O	O
wisteria01	6	10	?	O	O
wisteria01	6	11	''	O	O
wisteria01	7	0	``	O	O
wisteria01	7	1	Strange	O	O
wisteria01	7	2	--	O	O
wisteria01	7	3	remarkable	O	O
wisteria01	7	4	","	O	O
wisteria01	7	5	''	O	O
wisteria01	7	6	I	O	O
wisteria01	7	7	suggested	O	O
wisteria01	7	8	.	O	O
