	chap	sent_id	Token	Gold	Prediction
0	wisteria01	38	improper	B-NEG	O
1	wisteria01	44	none	O	B-NEG
2	wisteria01	51	unbrushed	B-NEG	O
3	wisteria01	51	unshaven	B-NEG	O
4	wisteria01	59	unbrushed	B-NEG	O
5	wisteria01	59	unkempt	B-NEG	O
6	wisteria01	60	unconventional	B-NEG	O
7	wisteria01	71	no	O	B-NEG
8	wisteria01	92	not	O	B-NEG
9	wisteria01	121	impatience	B-NEG	O
10	wisteria01	167	unknown	B-NEG	O
11	wisteria01	183	unburned	B-NEG	O
12	wisteria01	206	undoubtedly	B-NEG	O
13	wisteria01	224	uncommonly	B-NEG	O
14	wisteria01	237	no	O	B-NEG
15	wisteria01	246	unmistakable	B-NEG	O
16	wisteria01	248	by	B-NEG	O
17	wisteria01	248	no	I-NEG	B-NEG
18	wisteria01	248	means	I-NEG	O
19	wisteria01	282	unnatural	B-NEG	O
20	wisteria01	303	irreproachable	B-NEG	O
21	wisteria01	309	insensibly	B-NEG	O
22	wisteria01	324	inadmissable	B-NEG	O
23	wisteria01	328	insufferable	B-NEG	O
24	wisteria01	336	No	O	B-NEG
25	wisteria02	107	none	O	B-NEG
26	wisteria02	109	needless	B-NEG	O
27	wisteria02	114	Save	B-NEG	O
28	wisteria02	121	dissatisfied	B-NEG	O
29	wisteria02	176	none	O	B-NEG
30	wisteria02	187	unknown	B-NEG	O
31	wisteria02	191	not	O	B-NEG
32	wisteria02	192	inexplicable	B-NEG	O
33	wisteria02	196	not	O	B-NEG
34	wisteria02	211	sapless	B-NEG	O
35	wisteria02	212	undoubtedly	B-NEG	O
36	wisteria02	227	dislike	B-NEG	O
37	wisteria02	239	nobody	B-NEG	O
38	wisteria02	266	invisible	B-NEG	O
39	wisteria02	276	unknown	B-NEG	O
40	wisteria02	327	fearless	B-NEG	O
41	wisteria02	351	No	O	B-NEG
42	wisteria02	358	never	O	B-NEG
43	wisteria02	414	more	I-NEG	O
44	wisteria02	427	no	O	B-NEG
45	wisteria02	436	unclean	B-NEG	O
